"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV6NYCB4Y6",2552,1,0.752490421255945,4.37407285454389e-10,0.107187550431906,0.140098875911581,0.000223151963160886
"NDAR_INV6P3M2G8K",2553,5,0.000425178713810661,0.00255504363193564,1.16938100710165e-05,1.52841203710137e-05,0.996992799723812
"NDAR_INV6P89KUD7",2554,4,5.55987816622266e-06,5.14685871650397e-14,0.433107230385916,0.566044091184188,0.000843118551679008
"NDAR_INV6PK3TH3F",2555,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6PUUHUTG",2556,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6PWHXMEW",2557,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6PX8VT24",2558,5,0.0230798147646411,5.6496365023977e-06,0.0265650663675547,0.0347207890585065,0.915628680172795
"NDAR_INV6PYRR639",2559,4,0.000150193597075124,7.90904743838024e-09,0.409255881834525,0.534879575605173,0.0557143410541803
"NDAR_INV6PZCMKHU",2560,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6R35KCYL",2561,4,0.00443615987879675,1.50142846951019e-11,0.429846627310122,0.561801837949924,0.0039153748461427
"NDAR_INV6R64U2H8",2562,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6R8YX29J",2563,4,2.48812538943078e-05,5.8780061300821e-11,0.297622051485416,0.388972131429164,0.313380935772746
"NDAR_INV6R9H00F3",2564,4,8.19882328581504e-06,1.87429126244232e-17,0.43346595992868,0.56651386238946,1.19788585741722e-05
"NDAR_INV6RPBF276",2565,2,1.1356192098763e-09,0.999997169736992,7.41244945071326e-18,9.68897580555177e-18,2.82912738859386e-06
"NDAR_INV6RWCZUXZ",2566,4,0.0125062701539383,1.27467058046663e-09,0.413299968336414,0.540179761791221,0.0340139984437561
"NDAR_INV6T5W1GHZ",2567,4,7.54957577624595e-06,5.86224684949e-15,0.433192710399701,0.566155457050006,0.00064428297451033
"NDAR_INV6T7K85JU",2568,4,0.000757277322967021,2.80702133983137e-12,0.431450318626507,0.563891432789372,0.0039009712583471
"NDAR_INV6TAAAJ4F",2569,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6TFE3J8G",2570,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6THWFPJL",2571,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6TK12BD1",2572,1,0.99977724282864,9.09088478804149e-09,9.51098000838858e-05,0.000124317603547725,3.32067684361396e-06
"NDAR_INV6TL940V1",2573,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6TM6V4CG",2574,4,1.84895213773308e-05,1.63246412695205e-17,0.433462562571175,0.566512910903552,6.03700389624592e-06
"NDAR_INV6U16ZH7L",2575,4,0.00091562335074607,4.20596519012937e-07,0.283877491004594,0.371016877150649,0.344189587897493
"NDAR_INV6U1YT1NL",2576,5,0.090624337616029,4.35559100360379e-07,0.184605581025475,0.241280283012358,0.483489362787038
"NDAR_INV6U7JK69M",2577,4,3.96693164681748e-05,2.86990119615971e-15,0.433405107140159,0.566440415908645,0.000114807634724786
"NDAR_INV6U7X519L",2578,4,0.100008905477827,2.36136783621336e-08,0.350412773770484,0.45799085121008,0.0915874459279314
"NDAR_INV6UBYFA3R",2579,1,0.60529309761896,7.13969085848064e-09,0.169636317867643,0.22172053234808,0.00335004502562594
"NDAR_INV6UH8VGPA",2580,4,4.16958587523247e-05,1.42181575733361e-17,0.43345228910145,0.566502972609864,3.04242993346842e-06
"NDAR_INV6UPZCK82",2581,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6UTCM96K",2582,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6UU2L6YJ",2583,4,7.2586212928628e-05,5.3880188018404e-16,0.433426230320903,0.566469093252115,3.20902140526395e-05
"NDAR_INV6UUPURN1",2584,5,0.0168158749045781,1.25762262737298e-05,0.0116543830687642,0.0152324185526323,0.956284747247752
"NDAR_INV6UWU0UNB",2585,4,1.5958915100706e-05,1.47796772536955e-15,0.433379635771452,0.566401256168112,0.000203149145333603
"NDAR_INV6UYXYTEH",2586,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6UZL0D8M",2587,4,0.0448263638458076,5.59071936762654e-08,0.298178982892014,0.389718821454147,0.267275775900838
"NDAR_INV6V35BPDJ",2588,4,0.000257890866235898,1.16529616106383e-11,0.426415206809334,0.557307890109659,0.0160190122031186
"NDAR_INV6V5YH922",2589,5,6.8417272177757e-06,0.000367258599336437,1.60519563635801e-06,2.09799090688278e-06,0.999622196486903
"NDAR_INV6VB0DZ51",2590,4,0.00246857836117631,6.23316815218604e-11,0.431384095742465,0.563813325199015,0.00233400063501168
"NDAR_INV6VFFYA3R",2591,4,0.0026603537910777,1.42177026508516e-15,0.432309926275984,0.565024620241173,5.09969176391121e-06
"NDAR_INV6VN12UTG",2592,4,0.154724471757672,1.26295648583246e-09,0.363117261664765,0.474598537758612,0.00755972755599474
"NDAR_INV6VT5M0AL",2593,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6VUN0VRU",2594,4,0.00671266578247038,5.21708942811835e-10,0.430441342782547,0.56257632912166,0.000269661791613844
"NDAR_INV6VXADERG",2595,4,1.84895213773308e-05,1.63246412695205e-17,0.433462562571175,0.566512910903552,6.03700389624592e-06
"NDAR_INV6VZ1LB3J",2596,4,0.00181859758302068,1.36964052548004e-10,0.430822842279022,0.563075629691479,0.00428293030951532
"NDAR_INV6VZBKHPK",2597,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6W2Z90PJ",2598,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6W30KJMZ",2599,4,5.03023364610814e-05,2.88470475870842e-12,0.431856510914428,0.564416316228758,0.00367687051746828
"NDAR_INV6W6JXPC8",2600,4,3.63556869760183e-06,2.15191685612733e-17,0.433464339651454,0.566508256136629,2.3768643219401e-05
"NDAR_INV6WB14N47",2601,4,5.55987816622266e-06,5.14685871650397e-14,0.433107230385916,0.566044091184188,0.000843118551679008
"NDAR_INV6WH2N8P4",2602,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6WJ57CC2",2603,5,0.0475746023847687,6.00734102500429e-05,0.00464785983043009,0.00607485465115907,0.941642609723392
"NDAR_INV6WJRAFFM",2604,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6WNHDWPU",2605,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6WNLK5EN",2606,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6WV9X2KM",2607,4,4.16958587523247e-05,1.42181575733361e-17,0.43345228910145,0.566502972609864,3.04242993346842e-06
"NDAR_INV6WW1A9ER",2608,4,0.00465512588815511,2.36939528767101e-10,0.422909780861663,0.552736558139124,0.0196985348741182
